Coin,Date,Open,High,Low,Close,Market Cap,Volume,LogReturn,RealizedVol,H-L,H-PC,L-PC,TR,ATR,garch_vol
Ethereum,2025-09-15 00:00:00,4609.786110950785,4609.786110950785,4609.786110950785,4609.786110950785,556354045428.2224,23827529566.903904,-0.012484911411690565,,0.0,57.91354167953341,57.91354167953341,57.91354167953341,,0.03433883423415742
Ethereum,2025-09-16 00:00:00,4524.244939102515,4524.244939102515,4524.244939102515,4524.244939102515,545926863107.31946,33863743706.690956,-0.018730760233556326,,0.0,85.5411718482701,85.5411718482701,85.5411718482701,,0.032975708451949165
Ethereum,2025-09-17 00:00:00,4504.266635522813,4504.266635522813,4504.266635522813,4504.266635522813,543407922913.00836,28053763147.05997,-0.004425610140170464,,0.0,19.978303579701787,19.978303579701787,19.978303579701787,59.62768004323613,0.032419376826681466
Ethereum,2025-09-18 00:00:00,4591.768794331328,4591.768794331328,4591.768794331328,4591.768794331328,554600592896.1794,41727122821.76891,0.019240219281567692,,0.0,87.50215880851465,87.50215880851465,87.50215880851465,65.87783424384432,0.03181061978742357
Ethereum,2025-09-19 00:00:00,4590.6367372135155,4590.6367372135155,4590.6367372135155,4590.6367372135155,554210013387.6136,29381752919.13096,-0.0002465709273367576,,0.0,1.13205711781211,1.13205711781211,1.13205711781211,55.11780709627874,0.0323350057167547
Ethereum,2025-09-20 00:00:00,4470.479474009387,4470.479474009387,4470.479474009387,4470.479474009387,539242810184.06946,28156319659.26727,-0.026523069403749756,,0.0,120.15726320412887,120.15726320412887,120.15726320412887,63.09197928544862,0.03179246952414703
Ethereum,2025-09-21 00:00:00,4481.799472368209,4481.799472368209,4481.799472368209,4481.799472368209,540941822331.27405,14314030981.454111,0.0025289659671851143,,0.0,11.319998358821977,11.319998358821977,11.319998358821977,61.50744424375697,0.032197938533715144
Ethereum,2025-09-22 00:00:00,4452.87113037789,4452.87113037789,4452.87113037789,4452.87113037789,537406899904.3973,15910684640.581882,-0.006475547754017685,,0.0,28.928341990318586,28.928341990318586,28.928341990318586,61.3650117489086,0.031765304324950644
Ethereum,2025-09-23 00:00:00,4199.951774017639,4199.951774017639,4199.951774017639,4199.951774017639,507148578276.2705,52988093949.58233,-0.0584760431185895,,0.0,252.9193563602512,252.9193563602512,252.9193563602512,79.02687422492883,0.031456621539947875
Ethereum,2025-09-24 00:00:00,4166.1905498775295,4166.1905498775295,4166.1905498775295,4166.1905498775295,503209949445.43353,29902684711.810097,-0.00807096176498276,,0.0,33.761224140109334,33.761224140109334,33.761224140109334,81.41389333122295,0.035490793479917356
