Coin,Date,Open,High,Low,Close,Market Cap,Volume,LogReturn,RealizedVol,H-L,H-PC,L-PC,TR,ATR,garch_vol
Bitcoin,2025-10-16 00:00:00,110708.66960879423,110708.66960879423,110708.66960879423,110708.66960879423,2207742082237.0483,68877328886.40259,-0.02187027704850107,0.4298265813000338,0.0,2447.8998294749035,2447.8998294749035,2447.8998294749035,2338.6380699131882,0.0209855778299008
Bitcoin,2025-10-17 00:00:00,108076.72862033188,108076.72862033188,108076.72862033188,108076.72862033188,2154964541836.455,84773160808.27399,-0.024060727835094255,0.43417741866941684,0.0,2631.9409884623456,2631.9409884623456,2631.9409884623456,2376.0285263472356,0.021091472026630108
Bitcoin,2025-10-18 00:00:00,106443.61194984635,106443.61194984635,106443.61194984635,106443.61194984635,2123017949517.1426,94325236794.78163,-0.015226045388614624,0.43641412589823836,0.0,1633.1166704855277,1633.1166704855277,1633.1166704855277,2375.6488062020935,0.021196065081506794
Bitcoin,2025-10-19 00:00:00,107156.00337647724,107156.00337647724,107156.00337647724,107156.00337647724,2135575517405.9185,34412835719.61292,0.006670368455095734,0.4366190759360521,0.0,712.3914266308857,712.3914266308857,712.3914266308857,2417.192106946826,0.021299381807458405
Bitcoin,2025-10-20 00:00:00,108621.134857428,108621.134857428,108621.134857428,108621.134857428,2165367850075.0042,45373692612.394394,0.013580252383546548,0.4388356890379516,0.0,1465.1314809507603,1465.1314809507603,1465.1314809507603,2441.4694901830144,0.021401446265834644
Bitcoin,2025-10-21 00:00:00,110608.5714932665,110608.5714932665,110608.5714932665,110608.5714932665,2205571381112.93,60452111148.140076,0.018131585512150224,0.4444193173450849,0.0,1987.4366358385014,1987.4366358385014,1987.4366358385014,2492.90617628094,0.02150228179876076
Bitcoin,2025-10-22 00:00:00,108486.10262716639,108486.10262716639,108486.10262716639,108486.10262716639,2162410619417.9114,105841401713.00197,-0.019375507633198404,0.44874284084129684,0.0,2122.468866100113,2122.468866100113,2122.468866100113,2412.0287885028333,0.02160191105973954
Bitcoin,2025-10-23 00:00:00,107618.4266715404,107618.4266715404,107618.4266715404,107618.4266715404,2145773248654.6448,83996418125.93103,-0.008030193731144152,0.4430148871360595,0.0,867.6759556259931,867.6759556259931,867.6759556259931,2343.023575370309,0.021700356042668484
Bitcoin,2025-10-24 00:00:00,110048.51827291629,110048.51827291629,110048.51827291629,110048.51827291629,2193901841033.9053,56192643013.57058,0.022329459095625167,0.4503814474160193,0.0,2430.091601375898,2430.091601375898,2430.091601375898,2398.424817793667,0.021797638109358055
Bitcoin,2025-10-25 00:00:00,110997.80437129698,110997.80437129698,110997.80437129698,110997.80437129698,2213306367536.756,49120903424.344864,0.008589076922262406,0.44950318328736827,0.0,949.2860983806895,949.2860983806895,949.2860983806895,1859.353108649851,0.021893778015739915
Bitcoin,2025-10-26 00:00:00,111620.3093731354,111620.3093731354,111620.3093731354,111620.3093731354,2224861052775.0015,23214874411.212166,0.005592596342511165,0.427826396612646,0.0,622.5050018384209,622.5050018384209,622.5050018384209,1736.0588943133084,0.021988795935652495
Bitcoin,2025-10-27 00:00:00,114476.01227508577,114476.01227508577,114476.01227508577,114476.01227508577,2283691326423.212,42483268634.18711,0.02526228424479552,0.4358504245320254,0.0,2855.702901950368,2855.702901950368,2855.702901950368,1630.2908998178577,0.022082711485042907
Bitcoin,2025-10-28 00:00:00,114182.79442806762,114182.79442806762,114182.79442806762,114182.79442806762,2276235094681.6714,63764801510.65889,-0.0025646771446726376,0.4360239389669304,0.0,293.2178470181534,293.2178470181534,293.2178470181534,1648.8984919306179,0.02217554374372492
Bitcoin,2025-10-29 00:00:00,112950.34863259472,112950.34863259472,112950.34863259472,112950.34863259472,2254003248725.4917,66299512352.17796,-0.010852294601360404,0.4311962466106667,0.0,1232.4457954729005,1232.4457954729005,1232.4457954729005,1589.3793642575329,0.022267311275655698
Bitcoin,2025-10-30 00:00:00,110046.66925837283,110046.66925837283,110046.66925837283,110046.66925837283,2194746293754.542,64235327509.05742,-0.026043787716947563,0.4350565396553887,0.0,2903.679374221887,2903.679374221887,2903.679374221887,1621.9350460251746,0.022358032150028163
Bitcoin,2025-10-31 00:00:00,108240.76528725718,108240.76528725718,108240.76528725718,108240.76528725718,2157803742876.0747,72648897659.94229,-0.016546487683334853,0.43830453790002866,0.0,1805.903971115651,1805.903971115651,1805.903971115651,1562.932401928982,0.022447723959439912
Bitcoin,2025-11-01 00:00:00,109573.90555629115,109573.90555629115,109573.90555629115,109573.90555629115,2185193896779.3408,58800487940.5146,0.012241204057501929,0.41698245404266626,0.0,1333.1402690339746,1333.1402690339746,1333.1402690339746,1541.505516111014,0.02253640383761086
Bitcoin,2025-11-02 00:00:00,110014.13556776087,110014.13556776087,110014.13556776087,110014.13556776087,2194075979770.0623,24938475577.849922,0.004009604521371749,0.4113251306732221,0.0,440.23001146971365,440.23001146971365,440.23001146971365,1522.0654150280732,0.02262408847715252
